Pagina;Area;Texto;Detalhes Técnicos;Detalhes Gerais;Resultados;Lições
1;1;Portal de Correções#6490;"O entregável final consiste na implementação do Portal de Correções, uma solução integrada no ecossistema Microsoft que centraliza e padroniza a gestão de pedidos de correção das cinco distribuidoras da Neoenergia, composto por:
Aplicativo Power Apps para registro e acompanhamento das solicitações de correção, incluindo aprovações, reprovações, justificativas e anexos de evidências.
Fluxos automatizados no Power Automate, garantindo notificações, aprovações via e-mail e integração entre os componentes da solução.
Bases estruturadas em listas SharePoint, assegurando armazenamento seguro, rastreabilidade e governança dos dados.
Painéis e relatórios dinâmicos, permitindo consultas avançadas, histórico completo e suporte às auditorias internas e externas.
A solução proporcionará:
Redução significativa de H/H nas cinco distribuidoras, eliminando processos manuais e retrabalho.
Transparência, confiabilidade e rastreabilidade das informações, incluindo notas e motivos das correções, essenciais para fiscalizações.
Mitigação da perda de informações, substituindo um processo antes realizado por milhares de e-mails mensais.
Economia financeira expressiva, evitando pagamentos indevidos por transgressões e possíveis multas regulatórias que podem somar milhões de reais por ano.";"O entregável final consiste na implementação do Portal de Correções, uma solução integrada no ecossistema Microsoft que centraliza e padroniza a gestão de pedidos de correção das cinco distribuidoras da Neoenergia, composto por:
Aplicativo Power Apps para registro e acompanhamento das solicitações de correção, incluindo aprovações, reprovações, justificativas e anexos de evidências.
Fluxos automatizados no Power Automate, garantindo notificações, aprovações via e-mail e integração entre os componentes da solução.
Bases estruturadas em listas SharePoint, assegurando armazenamento seguro, rastreabilidade e governança dos dados.
Painéis e relatórios dinâmicos, permitindo consultas avançadas, histórico completo e suporte às auditorias internas e externas.
A solução proporcionará:
Redução significativa de H/H nas cinco distribuidoras, eliminando processos manuais e retrabalho.
Transparência, confiabilidade e rastreabilidade das informações, incluindo notas e motivos das correções, essenciais para fiscalizações.
Mitigação da perda de informações, substituindo um processo antes realizado por milhares de e-mails mensais.
Economia financeira expressiva, evitando pagamentos indevidos por transgressões e possíveis multas regulatórias que podem somar milhões de reais por ano.";Todas as Distribuidoras já estão utilizando o aplicativo e sem mais ruídos, existe formas de se enviar de formato único ou em massa, apontar gestores paralelos em casa de férias do seu atual, e autenticação em 2 fatores funcionando, com rastreabilidade e segurança de cada uma das solicitações e partes dos processos;Sistemas de Loading para o powerapps e como contornar isso, como fazer backup automático e como fazer travas por tipos de usuário e rastreio de tentativas de manipulação.
1;2;Benchmark 4.0-Agentes de IA#6655;"O Microsoft Foundry não apenas promove inovação, mas também gera um impacto significativo na redução de custos operacionais, especialmente em relação às horas-homens (H/H). Ao automatizar processos que variam de tarefas simples a fluxos de trabalho complexos, a plataforma pode diminuir o custo dessas atividades em até 20 vezes quando comparado ao trabalho manual. Essa automação permite que as equipes se concentrem em demandas estratégicas e de maior valor agregado.

Com a eliminação de rotinas repetitivas, os colaboradores podem direcionar seus esforços para iniciativas que impulsionam o crescimento do negócio. Isso não apenas acelera a tomada de decisões, mas também posiciona a empresa para um crescimento sem precedentes, resultando em ganhos significativos em eficiência e competitividade.

Atualmente é visto dentro da gerência 4 grandes processos que demandam grandes quantidades de horas de colaboradores como especialistas engenheiros e analistas semanalmente quais juntos gastam 1 ou mais dias de trabalho de cada e podem ser substituídos por soluções automáticas com preço próximo a um estagiário por mês, e sem os encargos trabalhistas e complicações com a Lei Brasileira.

Importante Notar que não existe Assinatura única pelo serviço pois o mesmo é precificado por uso o tornando flexível e escalável, iniciando com valores baixos e conforme for subindo seu preço é porque o mesmo já está com processos bem definidos quais estão poupando tempo e dinheiro em escalas de 5 a 20 vezes como comentados antes.";"O Microsoft Foundry não apenas promove inovação, mas também gera um impacto significativo na redução de custos operacionais, especialmente em relação às horas-homens (H/H). Ao automatizar processos que variam de tarefas simples a fluxos de trabalho complexos, a plataforma pode diminuir o custo dessas atividades em até 20 vezes quando comparado ao trabalho manual. Essa automação permite que as equipes se concentrem em demandas estratégicas e de maior valor agregado.

Com a eliminação de rotinas repetitivas, os colaboradores podem direcionar seus esforços para iniciativas que impulsionam o crescimento do negócio. Isso não apenas acelera a tomada de decisões, mas também posiciona a empresa para um crescimento sem precedentes, resultando em ganhos significativos em eficiência e competitividade.

Atualmente é visto dentro da gerência 4 grandes processos que demandam grandes quantidades de horas de colaboradores como especialistas engenheiros e analistas semanalmente quais juntos gastam 1 ou mais dias de trabalho de cada e podem ser substituídos por soluções automáticas com preço próximo a um estagiário por mês, e sem os encargos trabalhistas e complicações com a Lei Brasileira.

Importante Notar que não existe Assinatura única pelo serviço pois o mesmo é precificado por uso o tornando flexível e escalável, iniciando com valores baixos e conforme for subindo seu preço é porque o mesmo já está com processos bem definidos quais estão poupando tempo e dinheiro em escalas de 5 a 20 vezes como comentados antes.";Não é possível ter resultados pois os testes não podem ser realizados devido a falta de ferramentas.;Não é possível ter resultados pois os testes não podem ser realizados devido a falta de ferramentas, pois com as atuais somos incapacitados de utilizar IA como se está utilizando até mesmo por pessoas comuns, estando muitos níveis abaixo de uma solução corporativa.
1;3;Agente Inteligente Corporativo#7331;"Ao final da fase de prototipação, será entregue um Agente Corporativo funcional, operando em ambiente controlado, capaz de responder dúvidas frequentes e apoiar processos padronizados por meio de integrações internas simples. O entregável inclui:

- Protótipo funcional.
- Fluxos de conversação documentados.
- Bases de conhecimento.
- Relatório de testes e feedback dos usuários.
- Registros de melhorias e recomendações para evolução.
- Avaliação de viabilidade de futura migração para uma solução equivalente.";"Ao final da fase de prototipação, será entregue um Agente Corporativo funcional, operando em ambiente controlado, capaz de responder dúvidas frequentes e apoiar processos padronizados por meio de integrações internas simples. O entregável inclui:

- Protótipo funcional.
- Fluxos de conversação documentados.
- Bases de conhecimento.
- Relatório de testes e feedback dos usuários.
- Registros de melhorias e recomendações para evolução.
- Avaliação de viabilidade de futura migração para uma solução equivalente.";"Durante a fase de testes, foram realizadas simulações com base em um fluxo real já implementado, contemplando abertura de solicitações (mudanças de TI), tratamento pela equipe e envio automatizado de retorno ao usuário.
É importante destacar que, nesta fase, não foi implementado um agente corporativo com capacidade autônoma ou inteligência artificial. O processo testado depende da atuação da equipe para análise e tratamento das solicitações, enquanto as automações via Power Automate atuam no suporte ao fluxo.

Resultados obtidos:
1. Coleta estruturada eficiente das solicitações, garantindo informações claras para atendimento.
2. Execução consistente das automações via Power Automate (notificações de registros e retorno de conclusão ao cliente).
3. Atendimento realizado de forma organizada pela equipe.
4. Comunicação final automatizada com sucesso, assegurando o fechamento do ciclo.

Indicadores:
100% das solicitações acionaram corretamente os fluxos.
100% das notificações foram entregues à equipe.
100% dos retornos foram enviados aos usuários.

De forma geral, o protótipo validou a eficiência da automação no suporte a processos, mesmo sem um agente inteligente ou uso de inteligência artificial aplicada.
Do ponto de vista evolutivo, a solução demonstra alto potencial de aprimoramento, podendo futuramente incorporar recursos de inteligência artificial e interpretação de linguagem natural, ampliando a autonomia e elevando o nível de experiência do cliente.";"Durante o processo de prototipação, foram identificadas lições importantes sobre limitações, oportunidades e uso das ferramentas disponíveis:

1. A construção de um agente corporativo completo, com inteligência e autonomia, não é viável sem recursos adicionais e ferramentas específicas (como Copilot Studio ou serviços de IA).
2. Mesmo sem IA, é possível obter ganhos significativos com automação de processos, especialmente na padronização e comunicação com o usuário.
3. A atuação humana continua sendo essencial no protótipo atual, principalmente nas etapas de análise e decisão, evidenciando que a solução ainda é semi-automatizada.
4. A integração entre etapas do processo (abertura, notificação, atendimento e retorno) é o principal diferencial da solução, mais do que a presença de inteligência artificial.
5. A clareza na estrutura do fluxo e nas regras de negócio é fundamental para o sucesso de qualquer automação.
6. A experiência obtida com o fluxo real reforça que o caminho para um agente corporativo passa primeiro pela organização e automação dos processos existentes.

Como conclusão, o protótipo demonstrou que, mesmo com limitações de recursos, é possível construir uma base sólida com automações e ferramentas básicas. Essa base pode evoluir no futuro para um Agente Corporativo mais avançado, com adoção de IA e capacidade de interação em linguagem natural."
1;4;Gestão de Equipes de Obras em Crise#7421;Será apresentado um protótipo final utilizando uma interface que indique equipes que podem ser realocadas/mobilizadas para atender crises. O protótipo deve também mostrar as equipes que estão ocupadas ou disponíveis.;Será apresentado um protótipo final utilizando uma interface que indique equipes que podem ser realocadas/mobilizadas para atender crises. O protótipo deve também mostrar as equipes que estão ocupadas ou disponíveis.;Não foram obtidos resultados para a iniciativa.;O Power BI apresentou melhor desempenho no boneco da iniciativa.
1;5;Ambiente gerenciador do programador do D18#7248;O protótipo visa entregar uma interface que permita ao programador do D18 verificar uma variedade de informações em um só lugar, como obras, a programar, pendências de fim físico, geolocalizador, dentre outros.;O protótipo visa entregar uma interface que permita ao programador do D18 verificar uma variedade de informações em um só lugar, como obras, a programar, pendências de fim físico, geolocalizador, dentre outros.;Não houve resultados para o projeto.;"A ferramenta de programação Python não foi a melhor opção aplicada.
A ferramenta mais adequada foi o Microsoft Access."
1;6;Sistema Integrado de Rastreamento de Equipamentos#6730;"O entregável final deste projeto consiste na prototipação completa e integrada de um Sistema de Rastreamento Equipamentos (SIREP), concebido para estruturar, visualizar e validar a ativos da rede elétrica de forma centralizada, rastreável 

A prototipação contempla um conjunto consistente de telas navegáveis, representando a experiência real de uso do sistema pelos diversos perfis envolvidos (engenharia, manutenção, operação e pré-operação), permitindo validar processos, fluxos para uma melhor implantação operacional.

Tela de Autenticação
- Interface de login institucional
- Controle de acesso restrito por usuário
- Ponto inicial de segurança e rastreabilidade das ações

Tela de Busca de Equipamentos
- Filtros por código do equipamento, tipo, alimentador, status, número de projeto e período
- Visualização tabular dos resultados
- Indicação clara do status operacional do ativo (ativo, substituição, realocação, inativo)

Ações diretas para acesso aos detalhes do equipamento

Tela de Detalhes do Equipamento
- Identificação completa do ativo (código, tipo, fabricante, modelo, classe de tensão)
- Associação com projeto, documentação técnica e imagens
- Exibição de dados adicionais relevantes ao acompanhamento operacional
- Visão consolidada do estado atual do equipamento

Aba de Rastreamento
- Registro estruturado das movimentações do equipamento entre alimentadores
- Identificação de alimentador de origem e destino
- Datas de instalação e remoção
- Integração conceitual com sistemas corporativos (ex.: GSE e SAGE)
- Registro do responsável e observações do evento
- Evidência clara da rastreabilidade física e sistêmica

 Aba de Manutenção
- Visualização destacada da última manutenção realizada e da próxima manutenção prevista
- Informações críticas apresentadas de forma imediata:
- Tipo de manutenção
- Status (em andamento / concluída)
- Datas
- Número do PES
- Responsável
- Campo de observações com histórico de registros técnicos
- Apoio à tomada de decisão operacional e preventiva

 Aba de Histórico
- Linha do tempo completa do equipamento
- Registro cronológico de eventos:
- Inclusão como novo ativo
- Substituições
- Realocações
- Manutenções
- Desativação
- Identificação do usuário responsável por cada evento
- Preservação total do histórico do ativo, independentemente de seu status atual

Gostaria de informar que possuo imagens do SIREP e também do Fluxo de atividade porem não consigo adicionar nos anexos.";"O entregável final deste projeto consiste na prototipação completa e integrada de um Sistema de Rastreamento Equipamentos (SIREP), concebido para estruturar, visualizar e validar a ativos da rede elétrica de forma centralizada, rastreável 

A prototipação contempla um conjunto consistente de telas navegáveis, representando a experiência real de uso do sistema pelos diversos perfis envolvidos (engenharia, manutenção, operação e pré-operação), permitindo validar processos, fluxos para uma melhor implantação operacional.

Tela de Autenticação
- Interface de login institucional
- Controle de acesso restrito por usuário
- Ponto inicial de segurança e rastreabilidade das ações

Tela de Busca de Equipamentos
- Filtros por código do equipamento, tipo, alimentador, status, número de projeto e período
- Visualização tabular dos resultados
- Indicação clara do status operacional do ativo (ativo, substituição, realocação, inativo)

Ações diretas para acesso aos detalhes do equipamento

Tela de Detalhes do Equipamento
- Identificação completa do ativo (código, tipo, fabricante, modelo, classe de tensão)
- Associação com projeto, documentação técnica e imagens
- Exibição de dados adicionais relevantes ao acompanhamento operacional
- Visão consolidada do estado atual do equipamento

Aba de Rastreamento
- Registro estruturado das movimentações do equipamento entre alimentadores
- Identificação de alimentador de origem e destino
- Datas de instalação e remoção
- Integração conceitual com sistemas corporativos (ex.: GSE e SAGE)
- Registro do responsável e observações do evento
- Evidência clara da rastreabilidade física e sistêmica

 Aba de Manutenção
- Visualização destacada da última manutenção realizada e da próxima manutenção prevista
- Informações críticas apresentadas de forma imediata:
- Tipo de manutenção
- Status (em andamento / concluída)
- Datas
- Número do PES
- Responsável
- Campo de observações com histórico de registros técnicos
- Apoio à tomada de decisão operacional e preventiva

 Aba de Histórico
- Linha do tempo completa do equipamento
- Registro cronológico de eventos:
- Inclusão como novo ativo
- Substituições
- Realocações
- Manutenções
- Desativação
- Identificação do usuário responsável por cada evento
- Preservação total do histórico do ativo, independentemente de seu status atual

Gostaria de informar que possuo imagens do SIREP e também do Fluxo de atividade porem não consigo adicionar nos anexos.";"Durante a etapa de prototipação do SIREP — Sistema Integrado de Rastreamento de Equipamentos, foram realizados testes com dados fictícios, simulando situações relacionadas ao cadastro, rastreamento, movimentação, manutenção, substituição, realocação e desativação de equipamentos de proteção da rede elétrica.
Os resultados obtidos foram interessantes, pois permitiram visualizar, de forma prática, como a centralização das informações em uma única plataforma pode contribuir para o controle dos ativos, a redução de inconsistências cadastrais e o aumento da confiabilidade na consulta dos dados. A simulação demonstrou que o sistema pode facilitar a identificação da localização dos equipamentos, o acompanhamento do histórico de intervenções e a atualização das informações ao longo do ciclo de vida do ativo.
Além disso, os testes evidenciaram que o SIREP pode apoiar o acompanhamento de indicadores operacionais, como DEC e FEC, ao permitir uma análise mais organizada da atuação dos equipamentos no sistema elétrico. A plataforma poderá concentrar informações sobre quantidade de atuações dos equipamentos, registros de correção de falhas, histórico de manutenções realizadas, substituições executadas e possíveis recidências de falhas em determinados equipamentos ou trechos da rede.
Dessa forma, os testes com dados fictícios mostraram que o SIREP tem potencial para auxiliar não apenas na rastreabilidade dos equipamentos, mas também na geração de informações estratégicas para a operação, manutenção e planejamento da rede elétrica. Com dados mais organizados e históricos mais confiáveis, torna-se possível identificar padrões de falhas, avaliar o desempenho dos equipamentos e apoiar ações preventivas e corretivas de forma mais assertiva.";"Durante o processo de prototipação, foi possível compreender melhor a importância da rastreabilidade dos equipamentos de proteção e o impacto que informações dispersas, duplicadas ou desatualizadas podem gerar na rotina operacional da empresa. A construção do protótipo mostrou que um sistema eficiente não depende apenas de uma boa interface, mas também da qualidade, organização e padronização dos dados inseridos.
Uma das principais lições aprendidas foi a necessidade de estruturar fluxos claros para cada etapa do ciclo de vida do equipamento, desde a instalação inicial até possíveis movimentações, substituições, manutenções ou desativações. Também ficou evidente que o sistema deve funcionar como uma ferramenta de apoio à gestão e à consulta das informações, sem substituir a análise técnica ou a tomada de decisão dos profissionais responsáveis.
Outro ponto importante foi perceber que os indicadores precisam estar diretamente relacionados à realidade operacional. Informações como DEC, FEC, quantidade de atuações dos equipamentos, correções de falhas, manutenções, substituições e recidências podem fornecer uma visão mais completa sobre o comportamento dos ativos na rede elétrica. Esses dados ajudam a identificar equipamentos com maior frequência de atuação, trechos com falhas recorrentes e oportunidades de melhoria no planejamento das intervenções.
Além disso, tive a oportunidade de me comunicar e conhecer melhor outras áreas da empresa, como Automação, Pós-Operação, Manutenção e Planejamento, além da Operação, que é a área em que atuo. Esse contato foi muito importante para ampliar minha visão sobre os processos internos, compreender as necessidades de diferentes setores e perceber como a integração entre áreas pode fortalecer o desenvolvimento de uma solução mais completa, útil e alinhada à realidade da empresa."
1;7;Operação Base Forte#6782;O entregável da prototipação consiste em um MVP em Power Apps que demonstra, ponta a ponta, o fluxo padronizado de atualização cadastral de ativos (cadastro inicial, manutenção e vistoria periódica), tendo o GSE como fonte‑mestra, com telas, regras de validação, estados de workflow e registro de evidências (responsável, data, anexos) para garantir rastreabilidade e retorno das informações saneadas à área de Perdas Técnicas. Esse MVP é suportado por uma base Excel que consolida dados e casos de teste (incluindo logs de alterações e painel de resultados), um documento Word com o plano de testes (escopo, dados de teste, RACI, critérios de aceite e resultados) e uma apresentação PowerPoint que sintetiza problema, solução, fluxo, capturas do app e indicadores simulados de ganho (tempo de ciclo por etapa e redução de retrabalho). O protótipo é considerado concluído quando executa sem falhas os cenários definidos, gera evidências completas e apresenta os resultados na trilha de validação das áreas envolvidas.;O entregável da prototipação consiste em um MVP em Power Apps que demonstra, ponta a ponta, o fluxo padronizado de atualização cadastral de ativos (cadastro inicial, manutenção e vistoria periódica), tendo o GSE como fonte‑mestra, com telas, regras de validação, estados de workflow e registro de evidências (responsável, data, anexos) para garantir rastreabilidade e retorno das informações saneadas à área de Perdas Técnicas. Esse MVP é suportado por uma base Excel que consolida dados e casos de teste (incluindo logs de alterações e painel de resultados), um documento Word com o plano de testes (escopo, dados de teste, RACI, critérios de aceite e resultados) e uma apresentação PowerPoint que sintetiza problema, solução, fluxo, capturas do app e indicadores simulados de ganho (tempo de ciclo por etapa e redução de retrabalho). O protótipo é considerado concluído quando executa sem falhas os cenários definidos, gera evidências completas e apresenta os resultados na trilha de validação das áreas envolvidas.;"Testes bem sucedidos com a utilização do MVP que foi realizado através de desenvolvimento de software, utilizando ferramenta homologada da empresa (Visual Studio Code), entendendo o funcionamento do fluxo e adaptando às necessidades da área cliente.
Os dados foram cadastrados, alterados e também removidos conforme previsto no escopo inicial do projeto, tendo ajustes conforme o entendimento de solicitações e meios otimizados para atender às necessidades que foram passadas, além de melhorias proativas ao longo da consolidação.";Entendimento de limitações em campo e das ferramentas inicialmente pensadas, levando a utilizar desenvolvimento próprio dentro de um ambiente controlado e homologado, além da empatia da vivência do usuário.
1;8;INTERFACE DE ANÁLISE DE RELIGADORES#6684;Um protótipo funcional em Power BI (arquivo .PBIX e/ou publicado em workspace) que consolida dados de múltiplos sistemas (todos os sistemas possíveis mapeados e acessíveis por extração) para apoiar o diagnóstico operacional de religadores indisponíveis, exibindo evidências e indicadores para tomada de decisão na rotina da operação.;Um protótipo funcional em Power BI (arquivo .PBIX e/ou publicado em workspace) que consolida dados de múltiplos sistemas (todos os sistemas possíveis mapeados e acessíveis por extração) para apoiar o diagnóstico operacional de religadores indisponíveis, exibindo evidências e indicadores para tomada de decisão na rotina da operação.;"Foi desenvolvido um dashboard inicial Base Integrada de Automação (BIA), com foco no monitoramento e análise dos religadores da COSERN. A solução consolida, em uma única visão, indicadores operacionais relevantes para apoiar o acompanhamento, o diagnóstico e a priorização de ações. A interface apresenta uma visão integrada dos principais indicadores, permitindo acompanhar:
Volume de equipamentos monitorados: 2.349 religadores
Falhas TST (taxa de sucesso de telecomando): 1.021 registros
Equipamentos sem envio de comando: 1.021
Alarmes registrados no PAIOL: 668 ocorrências
Análises adicionais disponibilizadas no painel
Além dos indicadores gerais, o dashboard permite identificar gaps operacionais por equipamento, classificados em:
Gap PAIOL: equipamentos que apresentam desempenho abaixo do esperado, porém não estão sendo devidamente monitorados pelo PAIOL.
Gap de Cadastro: equipamentos que estão operando sem monitoramento ativo pelo Zabbix, indicando possível ausência/erro de cadastro ou integração.
Gap de Meio de Comunicação: equipamentos com disponibilidade de telecom abaixo do parâmetro definido, sugerindo impacto do meio de comunicação na operação.
Criticidade BIA – distribuição de alarmes
O painel também apresenta a distribuição de alarmes por criticidade BIA, permitindo orientar a priorização de tratativas:
Baixa: 315
Média: 62
Alta: 42";"A consolidação das bases SCADA, TST, Telecom e PAIOL em uma única visão trouxe um ganho imediato de entendimento do cenário operacional, permitindo triagem mais rápida, priorização mais assertiva e maior visibilidade sobre a saúde dos religadores.
Durante a POC, também ficou evidente a complexidade e diversidade dos problemas associados aos religadores, incluindo ocorrências que ainda não estavam completamente mapeadas pelos processos atuais de monitoramento e acompanhamento. Esse achado reforça a necessidade de evolução contínua das regras de classificação, do catálogo de anomalias e das definições de criticidade.
Além disso, a iniciativa evidenciou a importância de fortalecer a governança e integração entre as áreas envolvidas, especialmente COI, CEGRI e O&M, para garantir alinhamento sobre: regras e critérios de análise (gaps e criticidade), responsabilidades de tratamento, fluxos de acionamento e retorno, padronização e qualidade dos dados."
1;9;Plataforma Projeta+#7339;Um aplicativo bem iterativo de fácil acesso ao usuário, onde ele consiga colocar suas informações de consumo;Um aplicativo bem iterativo de fácil acesso ao usuário, onde ele consiga colocar suas informações de consumo;Nosso projeto trabalha em fluxo inverso  :  a energia e os recursos  e os recursos  que antes eram perdidos  ou descartados , agora volam para a rede  a comunidade  é um sistema  que limpa  o ambiente  e desenvolve a energia  para quem mais precisa .;impactos  sociais, ambientais   e econômicos .
1;10;Plataforma Digital de Contratação Inteligente de Energia para Clientes do Grupo A#7266;Entrega final: um aplicativo interativo, de fácil acesso e uso, que permite ao usuário inserir suas informações de consumo e receber a indicação da demanda adequada a ser contratada. O produto é direcionado a grandes clientes.;Entrega final: um aplicativo interativo, de fácil acesso e uso, que permite ao usuário inserir suas informações de consumo e receber a indicação da demanda adequada a ser contratada. O produto é direcionado a grandes clientes.;O resultado foi um projeto bem estruturado na área destinada, podendo acarretar benefícios tanto para a população quanto para a distribuidora.;A experiência proporcionada contribuiu significativamente para o desenvolvimento de uma visão inovadora, estimulando a capacidade de pensar de forma criativa e estratégica, além dos padrões convencionais
